"","0","1","2","3"
"V1",0.047044,0.0702,0.041796,0.059627
"V2",0.20967,0.31411,0.28502,0.31575
"V3",1.1126,1.6781,1.3819,1.5237
"V4",0.59687,0.89279,0.80826,0.90245
"V5",0.051372,0.076882,0.066219,0.094285
"V6",0.056051,0.083957,0.086648,0.10163
"V7",0.052493,0.078691,0.058242,0.073707
"V8",0.13536,0.20194,0.14819,0.20572
"V9",0.087089,0.12999,0.11744,0.1584
"V10",0.55103,0.81178,0.68662,1.1976
"V11",0.25718,0.38402,0.31062,0.47698
"V12",0.59943,0.90244,0.81277,0.87206
"V13",0.48751,0.74521,0.45346,0.58714
"V14",0.19477,0.29154,0.23859,0.37361
"V15",0.10415,0.15602,0.15358,0.15846
"V16",0.2291,0.34183,0.24356,0.46927
"V17",0.17412,0.26061,0.24003,0.2493
"V18",0.1781,0.26692,0.21724,0.25687
"V19",0.030953,0.046311,0.035811,0.055693
"V20",0.094189,0.1411,0.12322,0.14481
"V21",0.29834,0.44463,0.37756,0.45101
"V22",0.083421,0.12523,0.082056,0.10438
"V23",0.3999,0.59604,0.41062,0.66352
"V24",0.073669,0.11006,0.088283,0.12128
"V25",0.059914,0.089614,0.075819,0.091286
"V26",0.41001,0.61448,0.48995,0.61689
"V27",0.08947,0.13358,0.12586,0.16073
"V28",0.094515,0.14081,0.10119,0.20389
"V29",0.10375,0.15522,0.12206,0.19109
"V30",0.14131,0.21085,0.1784,0.22572
"V31",0.013925,0.020846,0.014664,0.027148
"V32",0.13528,0.20256,0.17653,0.19533
"V33",0.24579,0.3703,0.2738,0.35089
"V34",0.19793,0.29671,0.24294,0.2691
"V35",0.24461,0.36632,0.34363,0.43288
"V36",0.28012,0.41816,0.37587,0.46482
"V37",0.12589,0.18716,0.15736,0.20563
"V38",2.0026,3.0993,2.0598,2.4455
"V39",0.19157,0.28681,0.21758,0.36094
"V40",0.11835,0.17771,0.14696,0.16171
"V41",0.059797,0.089423,0.075161,0.084784
"V42",0.12029,0.1804,0.15729,0.16351
"V43",0.26366,0.39549,0.33117,0.37537
"V44",0.19576,0.29113,0.23161,0.31894
"V45",0.036919,0.055188,0.042666,0.082223
"V46",0.082286,0.12289,0.092746,0.13225
"V47",0.14112,0.20739,0.16698,0.42127
"V48",0.41574,0.62771,0.52244,0.60207
"V49",0.081142,0.12068,0.09037,0.16659
"V50",0.13601,0.20425,0.16478,0.18774
"V51",0.1315,0.1968,0.18149,0.18932
"V52",0.58506,0.87791,0.75952,0.83831
"V53",0.1395,0.20934,0.18189,0.20411
"V54",0.20229,0.30212,0.23955,0.28968
"V55",0.17461,0.26201,0.26125,0.27011
"V56",0.31191,0.46792,0.41902,0.45968
"V57",0.17828,0.26499,0.20964,0.45642
"V58",0.19098,0.28683,0.25363,0.26787
"V59",0.26115,0.39225,0.34477,0.36515
"V60",0.10359,0.1548,0.12991,0.19921
"V61",0.19719,0.29601,0.25192,0.30745
"V62",0.027516,0.041189,0.035893,0.044139
"V63",0.023386,0.035086,0.025493,0.03721
"V64",0.57208,0.8626,0.76884,0.83125
"V65",0.50126,0.75079,0.67789,0.74267
"V66",0.072894,0.10904,0.08483,0.10073
"V67",0.18098,0.26967,0.19792,0.31671
"V68",0.28665,0.43488,0.32421,0.37287
"V69",0.017575,0.02634,0.023386,0.025885
"V70",0.22959,0.34383,0.33036,0.33943
"V71",0.52797,0.7939,0.56019,0.84375
"V72",0.017261,0.025861,0.020705,0.025683
"V73",0.055766,0.082971,0.071055,0.21529
"V74",0.54761,0.8338,0.62848,0.76395
"V75",0.096946,0.14448,0.096429,0.20426
"V76",0.10686,0.1598,0.13987,0.1602
"V77",0.055015,0.082472,0.073446,0.081483
"V78",0.5843,0.88249,0.64054,0.82103
"V79",0.41895,0.62804,0.59509,0.61859
"V80",0.12522,0.1877,0.13414,0.18612
"V81",0.091593,0.13731,0.10291,0.15109
"V82",0.42766,0.64328,0.58969,0.59849
"V83",0.24935,0.37529,0.30621,0.33178
"V84",0.60271,0.9004,0.80062,0.86303
"V85",0.39721,0.59504,0.49726,0.55788
"V86",0.45732,0.69277,0.50003,0.61386
"V87",0.20897,0.31249,0.26609,0.32011
"V88",0.013694,0.020517,0.018756,0.020568
"V89",0.87788,1.3161,1.3046,1.4043
"V90",0.59899,0.89591,0.88311,0.90479
"V91",0.43305,0.65264,0.54639,0.59751
"V92",0.18487,0.27671,0.24921,0.26872
"V93",0.10328,0.15419,0.12956,0.21279
"V94",0.1914,0.28567,0.20124,0.30529
"V95",0.12031,0.17929,0.15603,0.20713
"V96",0.14898,0.22207,0.20387,0.26308
"V97",0.10455,0.15635,0.14056,0.15686
"V98",0.075203,0.1126,0.096117,0.11988
"V99",0.14421,0.21281,0.1488,0.27797
"V100",0.38721,0.58389,0.44936,0.48205
