"","0","1","2","3"
"V1",1.3059,1.3229,0.40721,0.61633
"V2",0.45546,0.48596,0.059768,0.24357
"V3",0.72378,0.87973,0.16353,0.54099
"V4",0.25122,0.29164,0.039735,0.15721
"V5",0.70811,0.72045,0.15876,0.50662
"V6",0.11858,0.1211,0.015763,0.080315
"V7",0.3802,0.38657,0.058962,0.14047
"V8",0.77835,0.80696,0.13584,0.36677
"V9",0.13693,0.14179,0.015787,0.077831
"V10",0.4661,0.53296,0.092591,0.59146
"V11",0.32669,0.35202,0.04957,0.254
"V12",0.15766,0.18313,0.024006,0.096582
"V13",1.2024,1.3402,0.32056,0.64489
"V14",0.35006,0.37006,0.068014,0.40422
"V15",0.15342,0.16052,0.015977,0.042875
"V16",0.38048,0.40643,0.062998,0.34907
"V17",0.90872,0.95477,0.21256,0.38346
"V18",0.41484,0.43632,0.077437,0.19872
"V19",0.32892,0.33368,0.056944,0.16417
"V20",0.87091,0.8943,0.20752,0.62355
"V21",0.60273,0.66223,0.10238,0.32662
"V22",1.0261,1.0495,0.25834,0.48624
"V23",0.9285,1.0232,0.2112,0.65457
"V24",0.53097,0.54289,0.10535,0.2898
"V25",0.50835,0.51997,0.059537,0.16919
"V26",0.27144,0.3009,0.041146,0.17735
"V27",0.45131,0.46656,0.058832,0.23781
"V28",0.36112,0.37428,0.062368,0.26007
"V29",0.64767,0.66687,0.11688,0.52639
"V30",0.14825,0.15543,0.021722,0.070451
"V31",0.314,0.31572,0.050529,0.14851
"V32",0.31022,0.32378,0.051499,0.10628
"V33",0.57951,0.61792,0.11102,0.38198
"V34",0.29244,0.30873,0.051327,0.1244
"V35",0.44632,0.47964,0.078149,0.50879
"V36",0.20407,0.22023,0.032977,0.16213
"V37",0.3182,0.33166,0.051768,0.1565
"V38",0.97228,1.2862,0.23035,0.61542
"V39",0.98496,1.0417,0.22158,0.96058
"V40",0.67357,0.697,0.12823,0.26054
"V41",0.52051,0.53254,0.089579,0.17297
"V42",0.59442,0.617,0.10634,0.1597
"V43",0.91049,0.97289,0.23828,0.48629
"V44",0.6236,0.6612,0.12617,0.34537
"V45",0.29016,0.29388,0.048931,0.20318
"V46",0.71484,0.73622,0.13633,0.3486
"V47",0.2567,0.27006,0.033022,0.26747
"V48",0.58081,0.65413,0.11451,0.41804
"V49",0.62574,0.64185,0.12876,0.43226
"V50",1.0349,1.0712,0.23068,0.54883
"V51",0.16307,0.17197,0.018685,0.050987
"V52",0.22418,0.25717,0.036107,0.15512
"V53",1.128,1.171,0.30985,0.7487
"V54",0.26403,0.28011,0.049557,0.11765
"V55",0.31594,0.33221,0.043956,0.10474
"V56",0.5005,0.54074,0.11235,0.2819
"V57",0.58722,0.62207,0.12219,0.67629
"V58",0.25305,0.27013,0.026272,0.11644
"V59",0.17999,0.19379,0.024011,0.084488
"V60",0.5253,0.54192,0.10572,0.39933
"V61",0.27034,0.28587,0.0396,0.17256
"V62",0.43496,0.43917,0.063682,0.17202
"V63",0.90937,0.91628,0.19005,0.53704
"V64",0.8297,0.95308,0.19655,0.47533
"V65",0.40461,0.45939,0.073594,0.30182
"V66",0.54382,0.55742,0.10413,0.21475
"V67",0.50216,0.53118,0.077114,0.31769
"V68",0.84972,0.92052,0.19597,0.41978
"V69",0.25231,0.25393,0.036965,0.074075
"V70",0.72383,0.77466,0.14559,0.29438
"V71",0.45907,0.51546,0.094204,0.37872
"V72",0.73886,0.74274,0.16866,0.32572
"V73",0.26095,0.26692,0.035699,0.3445
"V74",0.32082,0.37198,0.049464,0.23565
"V75",0.55167,0.56766,0.10704,0.39385
"V76",0.99683,1.0321,0.27106,0.50838
"V77",0.15107,0.15413,0.014915,0.067949
"V78",0.65078,0.74236,0.10787,0.53524
"V79",0.57101,0.63313,0.089701,0.31048
"V80",0.36111,0.37426,0.061052,0.1987
"V81",0.19916,0.20481,0.026059,0.11484
"V82",0.35886,0.40671,0.064357,0.10172
"V83",0.79445,0.84616,0.19143,0.33025
"V84",0.47003,0.5374,0.094717,0.31585
"V85",0.41092,0.45955,0.076085,0.27639
"V86",0.75994,0.8509,0.18405,0.50652
"V87",1.0954,1.1574,0.30027,0.76186
"V88",0.70429,0.70718,0.13112,0.22512
"V89",0.28893,0.34559,0.054297,0.24479
"V90",0.27908,0.32037,0.052602,0.14395
"V91",0.64024,0.70672,0.1324,0.32607
"V92",0.37201,0.39219,0.067395,0.14429
"V93",0.27165,0.28147,0.044987,0.23036
"V94",0.99386,1.046,0.24233,0.6271
"V95",0.63151,0.6533,0.13686,0.39011
"V96",0.38248,0.40223,0.061521,0.23419
"V97",0.13084,0.13575,0.018544,0.054539
"V98",0.36217,0.37209,0.058803,0.21423
"V99",0.42021,0.43829,0.074943,0.25397
"V100",0.32786,0.36423,0.062069,0.11713
