"","0","1","2","3"
"V1",1.2589,1.2527,0.36542,0.5567
"V2",0.2458,0.17186,-0.22526,-0.072184
"V3",-0.38879,-0.79839,-1.2184,-0.98275
"V4",-0.34566,-0.60115,-0.76852,-0.74524
"V5",0.65674,0.64356,0.092546,0.41234
"V6",0.062533,0.037146,-0.070885,-0.021317
"V7",0.3277,0.30788,0.00071959,0.066764
"V8",0.643,0.60502,-0.012358,0.16104
"V9",0.049837,0.011802,-0.10166,-0.080572
"V10",-0.084935,-0.27882,-0.59403,-0.60616
"V11",0.069504,-0.031999,-0.26105,-0.22298
"V12",-0.44177,-0.71931,-0.78876,-0.77547
"V13",0.71488,0.59494,-0.1329,0.057747
"V14",0.15529,0.078513,-0.17057,0.030611
"V15",0.049271,0.0045002,-0.1376,-0.11558
"V16",0.15138,0.064592,-0.18056,-0.12019
"V17",0.73459,0.69416,-0.027467,0.13416
"V18",0.23674,0.1694,-0.13981,-0.058146
"V19",0.29797,0.28737,0.021133,0.10848
"V20",0.77672,0.7532,0.084294,0.47874
"V21",0.30439,0.21759,-0.27518,-0.12439
"V22",0.94263,0.92423,0.17628,0.38187
"V23",0.52861,0.42719,-0.19942,-0.0089446
"V24",0.4573,0.43282,0.017063,0.16852
"V25",0.44844,0.43035,-0.016283,0.077901
"V26",-0.13858,-0.31358,-0.44881,-0.43953
"V27",0.36184,0.33298,-0.067026,0.077084
"V28",0.26661,0.23347,-0.038821,0.056179
"V29",0.54393,0.51165,-0.0051784,0.33531
"V30",0.006934,-0.055427,-0.15668,-0.15527
"V31",0.30008,0.29488,0.035866,0.12136
"V32",0.17493,0.12122,-0.12503,-0.089054
"V33",0.33371,0.24762,-0.16277,0.031097
"V34",0.094518,0.012018,-0.19162,-0.14469
"V35",0.20172,0.11332,-0.26548,0.075917
"V36",-0.076054,-0.19793,-0.3429,-0.30269
"V37",0.19231,0.1445,-0.10559,-0.049134
"V38",-1.0303,-1.8132,-1.8294,-1.8301
"V39",0.79339,0.7549,0.0040043,0.59964
"V40",0.55522,0.51929,-0.018729,0.098833
"V41",0.46071,0.44311,0.014418,0.08819
"V42",0.47413,0.43661,-0.050953,-0.0038094
"V43",0.64684,0.57739,-0.092892,0.11091
"V44",0.42784,0.37007,-0.10543,0.026437
"V45",0.25325,0.2387,0.0062652,0.12096
"V46",0.63255,0.61332,0.043585,0.21636
"V47",0.11559,0.06267,-0.13396,-0.1538
"V48",0.16507,0.026419,-0.40793,-0.18402
"V49",0.5446,0.52116,0.038395,0.26567
"V50",0.89892,0.86699,0.065903,0.36108
"V51",0.031571,-0.024831,-0.1628,-0.13833
"V52",-0.36088,-0.62074,-0.72341,-0.68318
"V53",0.98846,0.96167,0.12796,0.54459
"V54",0.061737,-0.022015,-0.18999,-0.17204
"V55",0.14133,0.070206,-0.2173,-0.16537
"V56",0.18859,0.072822,-0.30667,-0.17779
"V57",0.40894,0.35708,-0.087449,0.21987
"V58",0.062072,-0.016703,-0.22736,-0.15143
"V59",-0.08116,-0.19846,-0.32076,-0.28067
"V60",0.42171,0.38712,-0.02419,0.20012
"V61",0.07315,-0.010147,-0.21232,-0.13489
"V62",0.40744,0.39798,0.027789,0.12788
"V63",0.88598,0.88119,0.16455,0.49983
"V64",0.25762,0.090479,-0.57229,-0.35592
"V65",-0.096649,-0.29141,-0.6043,-0.44085
"V66",0.47092,0.44838,0.019298,0.11402
"V67",0.32118,0.26151,-0.12081,0.00098152
"V68",0.56307,0.48565,-0.12824,0.04691
"V69",0.23474,0.22759,0.013579,0.04819
"V70",0.49424,0.43083,-0.18478,-0.045049
"V71",-0.068893,-0.27844,-0.46599,-0.46503
"V72",0.7216,0.71687,0.14795,0.30004
"V73",0.20519,0.18395,-0.035357,0.12921
"V74",-0.22679,-0.46183,-0.57901,-0.5283
"V75",0.45473,0.42318,0.010613,0.18959
"V76",0.88997,0.87228,0.13119,0.34819
"V77",0.096059,0.071661,-0.058531,-0.013534
"V78",0.066481,-0.14013,-0.53267,-0.28579
"V79",0.15206,0.005097,-0.50538,-0.30811
"V80",0.23588,0.18656,-0.073092,0.012584
"V81",0.10757,0.067498,-0.076852,-0.036249
"V82",-0.068796,-0.23657,-0.52533,-0.49677
"V83",0.5451,0.47086,-0.11478,-0.00153
"V84",-0.13267,-0.36299,-0.7059,-0.54718
"V85",0.013713,-0.13549,-0.42117,-0.28149
"V86",0.30262,0.15812,-0.31598,-0.10734
"V87",0.88645,0.84489,0.034175,0.44175
"V88",0.69059,0.68667,0.11236,0.20455
"V89",-0.58895,-0.97048,-1.2503,-1.1595
"V90",-0.31991,-0.57554,-0.8305,-0.76084
"V91",0.20718,0.054083,-0.41399,-0.27143
"V92",0.18714,0.11548,-0.18181,-0.12442
"V93",0.16837,0.12728,-0.08457,0.01757
"V94",0.80246,0.76029,0.04109,0.32181
"V95",0.5112,0.47401,-0.019171,0.18297
"V96",0.2335,0.18016,-0.14235,-0.028893
"V97",0.026287,-0.020599,-0.12201,-0.10232
"V98",0.28697,0.25949,-0.037314,0.094354
"V99",0.27599,0.22548,-0.073855,-0.024
"V100",-0.059344,-0.21965,-0.3873,-0.36492
